@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
1.955808,4.070939,1.622423,2.365552,2.406593,3.706181,2.338809,3.861859,class_1
0.854125,2.023466,0.868766,1.874990,2.065574,2.567890,0.834025,2.046514,class_1
2.032051,3.879961,2.369289,5.355809,2.884956,3.431381,2.027260,3.628850,class_1
1.411528,2.782717,2.109722,6.467261,0.825503,2.367939,2.083761,5.981009,class_1
1.690821,4.591639,2.183084,4.454588,6.323129,8.239259,1.808589,4.078394,class_1
3.060000,4.263379,3.703757,5.652800,2.246875,4.141066,3.644640,4.967442,class_1
2.098341,3.686603,1.482005,3.168825,2.782051,4.205148,1.695716,2.864574,class_1
0.961735,1.868390,0.855315,1.633716,1.402685,2.557840,0.849943,1.796440,class_1
2.599246,4.662903,3.776685,5.033524,0.341216,1.186263,3.170264,4.063321,class_1
0.978947,1.976727,1.274324,3.760627,1.198630,3.759226,1.666087,4.123715,class_1
1.397810,2.413697,1.333735,2.464337,1.135762,2.692542,1.404332,2.788610,class_1
2.892183,4.573652,3.226485,5.017735,0.784247,4.513832,4.857971,6.390673,class_1
1.537783,2.897355,1.903183,3.674042,1.474719,2.072270,1.395315,2.624154,class_1
3.065491,4.840607,3.237681,5.139647,6.380000,11.206052,3.412527,6.149015,class_1
3.048518,4.012154,2.917098,4.915173,5.080420,5.377742,2.804523,3.519011,class_1
1.851145,2.908176,1.217391,2.321104,1.754032,3.258980,1.550889,3.788245,class_1
1.600543,2.665337,0.746341,1.335829,3.537234,3.334809,1.050299,4.167149,class_1
0.652299,1.183695,1.175862,1.913681,0.871585,1.426682,1.068929,2.776305,class_1
0.855401,2.461904,1.014423,3.318043,0.972868,4.277130,0.725697,2.734710,class_1
3.564246,4.693994,3.552846,3.979017,3.171975,5.547913,3.907504,3.548246,class_1
1.345730,2.610168,1.626238,3.091253,1.154321,2.614232,2.171920,2.435227,class_1
1.033426,3.911129,1.089461,2.398036,1.880435,3.123691,1.798595,3.688287,class_1
2.601983,4.855002,3.065990,4.786106,3.333333,5.510173,2.506106,3.834469,class_1
1.653761,3.200634,2.127688,3.599371,2.366972,5.178751,1.785340,2.862954,class_1
0.364804,1.469940,0.634518,2.730431,0.210769,2.050938,0.226436,1.455046,class_1
2.845697,4.614188,3.258621,4.500167,0.945578,2.465496,3.475995,5.334597,class_1
2.145833,6.049595,2.373522,5.356992,2.915441,6.489543,0.994671,3.915398,class_1
0.823596,1.410755,0.869094,2.299347,1.041667,1.543917,0.872870,1.292517,class_1
1.196341,4.593923,1.424791,2.174632,0.024194,0.153650,1.968404,3.255659,class_1
0.769750,3.180500,1.185484,4.110847,1.917969,6.005622,0.900315,3.321135,class_1
5.140988,6.237700,4.436261,5.937306,4.950000,4.561692,5.099819,5.255627,class_1
5.362069,8.314642,4.293689,5.860114,8.479866,11.419161,5.170654,7.909248,class_1
1.416497,3.102895,0.931153,2.095502,2.596273,5.057899,0.859844,1.978286,class_1
1.948931,4.405892,2.451567,4.964813,0.831395,1.161671,0.766600,0.946162,class_1
4.345345,5.927055,2.796830,5.542390,4.372449,7.472334,3.798365,4.516117,class_1
1.116995,2.192656,1.291892,2.452509,1.147727,3.871633,1.401392,3.507221,class_1
1.277062,2.838758,1.332936,2.374816,1.185393,2.318565,1.123664,2.173042,class_1
2.092000,3.189703,1.964660,4.146538,2.605263,5.579029,1.969609,3.405614,class_1
1.128378,2.742591,0.837607,1.990715,2.497006,6.699159,1.008708,2.356459,class_1
0.815534,2.891644,0.776699,1.860849,0.540761,1.466463,1.053777,3.491666,class_1
1.110335,1.663897,1.060794,1.809138,1.548148,3.365882,1.163934,2.249475,class_1
1.458667,3.651889,1.284884,2.914918,2.142857,3.804267,1.566722,2.981284,class_1
1.355524,2.549722,0.755448,1.600015,2.144295,2.667726,1.023290,1.937009,class_1
0.747664,3.245683,0.966463,2.451956,0.350932,1.796602,0.442642,0.922809,class_1
0.550290,1.876735,0.493371,2.962831,0.434389,1.136197,0.249215,0.782456,class_1
0.545365,1.557388,0.455823,1.468907,0.764977,2.014937,0.474758,1.552572,class_1
0.553633,1.296680,0.543825,1.364414,2.053846,7.189713,0.593651,1.375508,class_1
3.583333,5.881041,3.288674,4.718698,2.462366,4.592090,2.165563,3.145684,class_1
1.462779,2.668255,1.216667,1.911297,2.887097,5.421299,0.758157,1.375357,class_1
2.091139,4.679532,1.899457,4.819086,3.899123,4.457735,2.442916,6.295932,class_1
1.975504,3.573151,1.087855,2.062344,2.660714,5.796479,1.317940,1.897034,class_1
3.402870,5.157985,2.920343,4.487977,7.772152,10.740553,2.713506,5.238622,class_1
4.145433,5.475843,5.028818,6.362197,6.764901,6.360138,3.382403,4.888880,class_1
3.415989,5.765199,1.905544,3.388486,0.849206,6.194042,3.740406,6.504582,class_1
2.172149,4.351090,2.163484,5.895126,2.488426,6.302179,1.768407,3.408968,class_1
1.420655,2.987274,1.466755,5.437161,1.666016,3.084072,1.873990,4.893729,class_1
2.259615,3.811345,2.551020,4.819968,2.881679,5.743012,1.808720,3.871710,class_1
1.411111,2.944208,1.337709,2.514262,1.932482,3.464234,0.967919,2.625385,class_1
2.706647,5.319211,2.535714,5.293977,3.452663,5.767113,1.904535,2.820053,class_1
2.283784,5.659182,2.252022,4.323176,3.118056,6.322172,2.384615,4.401403,class_1
